label,role,dependents,share_of_library_pct
ax-rep,axiom,19198,40.31
df-nn,definition,19168,40.25
df-rmo,definition,18685,39.24
wrmo,syntax constructor,18685,39.24
cz,syntax constructor,16993,35.68
cn0,syntax constructor,16955,35.6
df-z,definition,16820,35.32
df-n0,definition,16795,35.27
c2,syntax constructor,16255,34.13
cuz,syntax constructor,16241,34.1
df-2,definition,16045,33.69
df-uz,definition,16038,33.68
c1o,syntax constructor,14889,31.27
df-1o,definition,14772,31.02
cbs,syntax constructor,13829,29.04
cfn,syntax constructor,13783,28.94
df-fin,definition,13472,28.29
cint,syntax constructor,13302,27.93
df-int,definition,13274,27.87
cfz,syntax constructor,13222,27.77
df-fz,definition,12980,27.26
c3,syntax constructor,12928,27.15
df-3,definition,12855,26.99
cmap,syntax constructor,12325,25.88
df-map,definition,11785,24.75
cdiv,syntax constructor,9922,20.84
csup,syntax constructor,9746,20.47
df-sup,definition,9740,20.45
cseq,syntax constructor,9672,20.31
df-seq,definition,9644,20.25
df-div,definition,9442,19.83
cnx,syntax constructor,9412,19.76
cslot,syntax constructor,9335,19.6
df-slot,definition,9335,19.6
ccrd,syntax constructor,9324,19.58
df-card,definition,9314,19.56
cplusg,syntax constructor,9303,19.54
df-ndx,definition,9299,19.53
df-base,definition,9144,19.2
chash,syntax constructor,8788,18.45
c4,syntax constructor,8753,18.38
df-4,definition,8738,18.35
crp,syntax constructor,8568,17.99
df-hash,definition,8527,17.91
df-rp,definition,8388,17.61
c0g,syntax constructor,8237,17.3
ax-pre-sup,axiom,8236,17.29
c5,syntax constructor,8211,17.24
df-5,definition,8205,17.23
cfzo,syntax constructor,8189,17.2
df-plusg,definition,8163,17.14
c6,syntax constructor,8139,17.09
df-6,definition,8131,17.07
ctp,syntax constructor,8125,17.06
df-tp,definition,8082,16.97
df-fzo,definition,8041,16.89
csts,syntax constructor,7950,16.69
df-sets,definition,7871,16.53
cmnd,syntax constructor,7848,16.48
cple,syntax constructor,7814,16.41
cexp,syntax constructor,7800,16.38
ccj,syntax constructor,7764,16.3
cmgm,syntax constructor,7737,16.25
cmulr,syntax constructor,7732,16.24
csgrp,syntax constructor,7715,16.2
df-0g,definition,7712,16.19
df-mgm,definition,7692,16.15
df-sgrp,definition,7679,16.13
cabs,syntax constructor,7665,16.1
df-mnd,definition,7644,16.05
df-exp,definition,7617,16.0
c2o,syntax constructor,7407,15.55
df-2o,definition,7298,15.33
c7,syntax constructor,7276,15.28
df-7,definition,7238,15.2
c8,syntax constructor,7230,15.18
wse,syntax constructor,7202,15.12
df-se,definition,7197,15.11
