database,foundation,label,typecode,role,dependents,share_of_db_pct,entry_points,source_revision
set.mm,"ZFC, classical first-order",cnp,class,syntax constructor,172,0.36,101,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-idom,|-,assertion,171,0.36,5,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-rpss,|-,assertion,171,0.36,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cn0s,class,syntax constructor,170,0.36,119,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ceu,class,syntax constructor,169,0.35,70,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ctgp,class,syntax constructor,169,0.35,62,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-e,|-,assertion,169,0.35,10,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-np,|-,assertion,169,0.35,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-tmd,|-,assertion,169,0.35,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-dgr,|-,assertion,168,0.35,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",wcnvrefrel,wff,syntax constructor,168,0.35,15,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cpli,class,syntax constructor,166,0.35,25,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cpsgn,class,syntax constructor,166,0.35,38,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-cnvrefrel,|-,assertion,166,0.35,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-tsms,|-,assertion,166,0.35,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",w-bnj17,wff,syntax constructor,166,0.35,104,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-bnj17,|-,assertion,165,0.35,28,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",coppc,class,syntax constructor,163,0.34,68,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-pli,|-,assertion,163,0.34,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cmpq,class,syntax constructor,162,0.34,15,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-mpq,|-,assertion,162,0.34,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-n0s,|-,assertion,162,0.34,7,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-vtxdg,|-,assertion,162,0.34,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ctng,class,syntax constructor,161,0.34,9,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cwwlks,class,syntax constructor,161,0.34,41,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-psgn,|-,assertion,161,0.34,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-siga,|-,assertion,161,0.34,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-tng,|-,assertion,161,0.34,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cltpq,class,syntax constructor,160,0.34,7,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cwwlksn,class,syntax constructor,160,0.34,98,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ltnq,|-,assertion,159,0.33,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
