library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Init,Init.Data.List.Nat.Range,List.find?_range'_eq_some,_private.Init.Data.List.Nat.Range.0.List.find?_range'_eq_some._proof_1_6,2,removed,
Init,Init.Data.List.Nat.Range,List.find?_range'_eq_some,_private.Init.Data.List.Nat.Range.0.List.find?_range'_eq_some._proof_1_7,4,removed,
Init,Init.Data.List.Nat.Range,List.range'_eq_singleton_iff,_private.Init.Data.List.Nat.Range.0.List.range'_eq_singleton_iff._proof_1_4,4,removed,
Init,Init.Data.List.Nat.Range,List.sum_range',_private.Init.Data.List.Nat.Range.0.List.sum_range'._proof_1_4,4,removed,
Init,Init.Data.List.Nat.Range,List.sum_range',_private.Init.Data.List.Nat.Range.0.List.sum_range'._proof_1_5,4,removed,
Init,Init.Data.List.Nat.Sum,List.sum_pos_iff_exists_pos_nat,_private.Init.Data.List.Nat.Sum.0.List.sum_pos_iff_exists_pos_nat._proof_1_1,2,removed,
Init,Init.Data.Nat.Bitwise.Lemmas,Nat.testBit_log2,_private.Init.Data.Nat.Bitwise.Lemmas.0.Nat.testBit_log2._proof_1_1,3,removed,
Init,Init.Data.Nat.Bitwise.Lemmas,Nat.testBit_log2,_private.Init.Data.Nat.Bitwise.Lemmas.0.Nat.testBit_log2._proof_1_2,3,removed,
Init,Init.Data.Nat.Bitwise.Lemmas,Nat.testBit_two_pow_sub_succ,_private.Init.Data.Nat.Bitwise.Lemmas.0.Nat.testBit_two_pow_sub_succ._proof_1_3,2,removed,
Init,Init.Data.Nat.Div.Lemmas,Nat.div_le_iff_le_mul,_private.Init.Data.Nat.Div.Lemmas.0.Nat.div_le_iff_le_mul._proof_1_1,2,removed,
Init,Init.Data.Nat.Div.Lemmas,Nat.le_mul_iff_le_left,_private.Init.Data.Nat.Div.Lemmas.0.Nat.le_mul_iff_le_left._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_left,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_left._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_max_iff,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_max_iff._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_min_iff,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_min_iff._proof_1_1,4,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_one_iff,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_one_iff._proof_1_1,6,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_right,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_right._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_three_iff,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_three_iff._proof_1_1,10,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_two_iff,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_two_iff._proof_1_1,8,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_eq_zero,_private.Init.Data.Nat.Lemmas.0.Nat.add_eq_zero._proof_1_1,4,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_lt_iff_lt_sub_right,_private.Init.Data.Nat.Lemmas.0.Nat.add_lt_iff_lt_sub_right._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.add_pos_iff_pos_or_pos,_private.Init.Data.Nat.Lemmas.0.Nat.add_pos_iff_pos_or_pos._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.le_add_one_iff,_private.Init.Data.Nat.Lemmas.0.Nat.le_add_one_iff._proof_1_1,2,removed,
